fn_name;iterators;loops;nested_loops
arch::all::memchr::One::find_raw;0;1;0
arch::all::memchr::One::rfind_raw;0;1;0
arch::all::memchr::One::count_raw;0;1;0
arch::all::memchr::Two::find_raw;0;1;0
arch::all::memchr::Two::rfind_raw;0;1;0
arch::all::memchr::Three::find_raw;0;1;0
arch::all::memchr::Three::rfind_raw;0;1;0
arch::all::packedpair::Finder::find_prefilter;0;3;0
arch::all::packedpair::Pair::with_ranker;0;4;0
arch::all::rabinkarp::Finder::new;0;1;0
arch::all::rabinkarp::Finder::find_raw;0;2;0
arch::all::rabinkarp::FinderRev::new;0;1;0
arch::all::rabinkarp::FinderRev::rfind_raw;0;2;0
arch::all::rabinkarp::Hash::forward;0;1;0
arch::all::rabinkarp::Hash::reverse;0;1;0
arch::all::twoway::Finder::find_small_imp;0;35;0
arch::all::twoway::Finder::find_large_imp;0;17;0
arch::all::twoway::FinderRev::rfind_small_imp;0;11;0
arch::all::twoway::FinderRev::rfind_large_imp;0;11;0
arch::all::twoway::Suffix::forward;0;4;0
arch::all::twoway::Suffix::reverse;0;4;0
arch::all::twoway::ApproximateByteSet::new;0;1;0
arch::all::is_equal_raw;0;1;0
arch::generic::memchr::One::<V>::find_raw;0;2;0
arch::generic::memchr::One::<V>::rfind_raw;0;2;0
arch::generic::memchr::One::<V>::count_raw;0;2;0
arch::generic::memchr::Two::<V>::find_raw;0;2;0
arch::generic::memchr::Two::<V>::rfind_raw;0;2;0
arch::generic::memchr::Three::<V>::find_raw;0;2;0
arch::generic::memchr::Three::<V>::rfind_raw;0;2;0
arch::generic::memchr::fwd_byte_by_byte;0;1;0
arch::generic::memchr::rev_byte_by_byte;0;1;0
arch::generic::memchr::count_byte_by_byte;0;2;0
arch::generic::packedpair::Finder::<V>::find;0;1;0
arch::generic::packedpair::Finder::<V>::find_prefilter;0;1;0
arch::generic::packedpair::Finder::<V>::find_in_chunk;0;1;0
