crate,total_fns,generic_fns,mono_fns,safe_fns,unsafe_fns,supported_inputs,unsupported_inputs,has_unsafe_ops,no_unsafe_ops,safe_abstractions,has_loops,no_loops,has_iterators,no_iterators,with_recursion,recursive_fns,
addr2line,92,75,17,92,0,15,77,15,77,15,20,72,0,92,5,4,
adler2,17,0,17,17,0,7,10,0,17,0,1,16,0,17,0,0,
alloc,2366,1839,527,2155,211,570,1796,714,1652,529,85,2281,51,2315,2,1,
build_script_build,9,0,9,9,0,5,4,0,9,0,2,7,5,4,0,0,
cfg_if,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
compiler_builtins,1996,100,1896,1959,37,1320,676,64,1932,40,27,1969,0,1996,2,2,
core,22601,6432,16169,15386,7215,12473,10128,8342,14259,1792,356,22245,418,22183,55,12,
gimli,1933,1272,661,1933,0,673,1260,14,1919,14,44,1889,8,1925,3,1,
hashbrown,652,558,94,579,73,90,562,166,486,96,23,629,31,621,0,0,
libc,374,3,371,328,46,122,252,20,354,2,3,371,0,374,0,0,
memchr,515,59,456,369,146,143,372,214,301,76,36,479,0,515,0,0,
miniz_oxide,105,12,93,105,0,41,64,0,105,0,9,96,0,105,0,0,
object,2803,1834,969,2803,0,473,2330,12,2791,12,61,2742,14,2789,0,0,
panic_abort,3,0,3,0,3,1,2,2,1,0,0,3,0,3,0,0,
panic_unwind,5,0,5,1,4,1,4,5,0,1,0,5,0,5,0,0,
proc_macro,619,273,346,618,1,136,483,18,601,17,7,612,11,608,1,1,
rustc_demangle,63,9,54,63,0,20,43,1,62,1,11,52,8,55,7,3,
rustc_std_workspace_alloc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rustc_std_workspace_core,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
std_detect,91,0,91,91,0,86,5,1,90,1,0,91,0,91,0,0,
std_lib_analysis,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,
std,4231,1208,3023,4052,179,1517,2714,713,3518,567,140,4091,52,4179,18,4,
unwind,5,0,5,5,0,4,1,0,5,0,0,5,0,5,0,0,
